Lat,Lng,Altitude(f,Accuracy,Date2
34.220209999999994,-118.575599999999994,"810","5",2019-09-08 11:47:54-07:00
34.220109999999998,-118.583600000000004,"836","5",2019-09-08 11:49:12-07:00
34.220030000000001,-118.588499999999996,"836","5",2019-09-08 11:50:36-07:00
34.219320000000003,-118.588600000000000,"833","10",2019-09-08 11:52:05-07:00
34.218750000000000,-118.588499999999996,"833","10",2019-09-08 11:53:21-07:00
34.219169999999998,-118.587800000000001,"836","10",2019-09-08 11:55:32-07:00
34.218980000000002,-118.588399999999993,"833","10",2019-09-08 11:57:21-07:00
34.212009999999999,-118.586299999999994,"810","10",2019-09-08 11:58:40-07:00
34.211979999999997,-118.585599999999999,"810","10",2019-09-08 12:00:08-07:00
34.208700000000000,-118.584100000000007,"816","10",2019-09-08 12:01:27-07:00
34.208320000000001,-118.581299999999999,"803","10",2019-09-08 12:02:45-07:00
34.210479999999997,-118.579800000000006,"800","5",2019-09-08 12:04:01-07:00
34.212470000000003,-118.582899999999995,"813","5",2019-09-08 12:05:17-07:00
34.212790000000005,-118.579800000000006,"810","5",2019-09-08 12:06:43-07:00
34.208399999999997,-118.581900000000005,"790","5",2019-09-08 12:08:02-07:00
34.208370000000002,-118.593100000000007,"810","5",2019-09-08 12:09:35-07:00
34.208340000000000,-118.602599999999995,"813","5",2019-09-08 12:10:53-07:00
34.208350000000003,-118.605599999999995,"820","5",2019-09-08 12:12:17-07:00
34.208359999999999,-118.605800000000002,"813","5",2019-09-08 12:14:14-07:00
34.201770000000003,-118.605999999999995,"797","5",2019-09-08 12:16:04-07:00
34.194540000000003,-118.605999999999995,"803","5",2019-09-08 12:17:22-07:00
34.187069999999999,-118.605999999999995,"806","10",2019-09-08 12:18:41-07:00
34.183129999999998,-118.605900000000005,"816","10",2019-09-08 12:20:01-07:00
34.178470000000004,-118.605099999999993,"842","5",2019-09-08 12:21:20-07:00
34.171840000000003,-118.605900000000005,"875","10",2019-09-08 12:22:54-07:00
34.169629999999998,-118.609999999999999,"888","5",2019-09-08 12:24:10-07:00
34.168540000000000,-118.610399999999998,"888","5",2019-09-08 12:26:04-07:00
34.164890000000000,-118.608000000000004,"921","5",2019-09-08 12:27:24-07:00
34.158729999999998,-118.609200000000001,"941","5",2019-09-08 12:28:44-07:00
34.156929999999996,-118.605900000000005,"970","5",2019-09-08 12:30:11-07:00
34.158020000000000,-118.596400000000003,"961","5",2019-09-08 12:31:32-07:00
34.166080000000001,-118.597600000000000,"902","5",2019-09-08 12:32:51-07:00
34.166559999999997,-118.598799999999997,"961","5",2019-09-08 12:34:07-07:00
34.165669999999999,-118.599100000000007,"1023","30",2019-09-08 14:08:42-07:00
34.166660000000000,-118.599400000000003,"967","10",2019-09-08 17:50:08-07:00
34.165550000000003,-118.600800000000007,"921","10",2019-09-08 17:52:14-07:00
34.164209999999997,-118.600899999999996,"941","10",2019-09-08 17:54:25-07:00
34.163379999999997,-118.600499999999997,"983","10",2019-09-08 17:56:34-07:00
34.161990000000003,-118.600600000000000,"1010","10",2019-09-08 17:58:47-07:00
34.161349999999999,-118.600200000000001,"1043","10",2019-09-08 18:00:54-07:00
34.162590000000002,-118.599599999999995,"1075","10",2019-09-08 18:03:03-07:00
34.163980000000002,-118.599199999999996,"1062","10",2019-09-08 18:05:09-07:00
34.165240000000004,-118.598500000000001,"1023","10",2019-09-08 18:07:17-07:00
34.187770000000000,-118.588499999999996,"823","10",2019-09-08 19:18:21-07:00
34.190899999999999,-118.588399999999993,"790","10",2019-09-08 19:19:38-07:00
34.199469999999998,-118.588399999999993,"787","10",2019-09-08 19:20:57-07:00
34.205539999999999,-118.588399999999993,"783","10",2019-09-08 19:22:16-07:00
34.211779999999997,-118.588399999999993,"806","10",2019-09-08 19:23:43-07:00
34.219850000000001,-118.588399999999993,"836","10",2019-09-08 19:26:05-07:00
34.230350000000001,-118.588399999999993,"872","10",2019-09-08 19:27:23-07:00
34.236719999999998,-118.588499999999996,"895","10",2019-09-08 19:28:41-07:00
34.247880000000002,-118.588499999999996,"924","10",2019-09-08 19:30:00-07:00
34.257199999999997,-118.587800000000001,"957","5",2019-09-08 19:31:20-07:00
34.257509999999996,-118.581400000000002,"957","10",2019-09-08 19:36:12-07:00
34.168859999999995,-118.604299999999995,"882","30",2019-09-09 08:40:46-07:00
34.168650000000000,-118.604200000000006,"898","10",2019-09-09 08:42:43-07:00
34.168659999999996,-118.604100000000003,"892","10",2019-09-09 08:45:27-07:00
34.168610000000001,-118.604299999999995,"902","10",2019-09-09 08:48:07-07:00
34.167290000000001,-118.592600000000004,"833","65",2019-09-09 10:00:06-07:00
34.167429999999996,-118.592299999999994,"823","65",2019-09-09 10:02:38-07:00
34.168019999999999,-118.592500000000001,"905","10",2019-09-09 10:04:00-07:00
34.167619999999999,-118.595900000000000,"895","10",2019-09-09 10:05:26-07:00
34.166119999999999,-118.597800000000007,"905","10",2019-09-09 10:06:42-07:00
34.166609999999999,-118.599199999999996,"947","10",2019-09-09 10:07:58-07:00
34.157249999999998,-118.597800000000007,"977","10",2019-09-09 12:48:26-07:00
34.159410000000001,-118.605800000000002,"944","10",2019-09-09 12:49:44-07:00
34.167850000000001,-118.605800000000002,"902","10",2019-09-09 12:51:03-07:00
34.175120000000000,-118.605699999999999,"859","10",2019-09-09 12:52:21-07:00
34.182729999999999,-118.605900000000005,"813","10",2019-09-09 12:54:50-07:00
34.186270000000000,-118.605900000000005,"813","10",2019-09-09 12:56:08-07:00
34.186920000000001,-118.606200000000001,"813","10",2019-09-09 12:58:02-07:00
34.185740000000003,-118.606899999999996,"820","10",2019-09-09 12:59:21-07:00
34.186050000000002,-118.606600000000000,"823","50",2019-09-09 13:00:02-07:00
34.185650000000003,-118.606499999999997,"816","100",2019-09-09 13:01:50-07:00
34.185499999999998,-118.606200000000001,"813","50",2019-09-09 13:03:06-07:00
34.169059999999995,-118.604399999999998,"892","10",2019-09-10 08:43:00-07:00
34.168630000000000,-118.604200000000006,"895","10",2019-09-10 08:44:05-07:00
34.168620000000004,-118.604200000000006,"895","10",2019-09-10 08:49:05-07:00
34.166449999999998,-118.621899999999997,"862","65",2019-09-10 09:21:21-07:00
34.175030000000000,-118.623300000000000,"872","10",2019-09-10 09:22:39-07:00
34.186659999999996,-118.623400000000004,"836","10",2019-09-10 09:23:58-07:00
34.188820000000000,-118.624399999999994,"839","10",2019-09-10 09:25:19-07:00
